date,open,high,low,close,adj_close,volume
2019-12-11,14109.0,14156.0,14010.0,14066.0,13725.5400390625,48306
2019-12-12,14077.099609375,14232.7001953125,14077.099609375,14154.9501953125,13812.337890625,66841
2019-12-13,14190.0,14389.5,14011.0,14301.599609375,13955.435546875,156050
2019-12-16,14260.0,14430.599609375,14137.0,14151.650390625,13809.1171875,67072
2019-12-17,14214.900390625,14247.099609375,14081.0,14149.150390625,13806.67578125,81425
2019-12-18,14200.0,14280.0,14055.400390625,14191.099609375,13847.6103515625,93716
2019-12-19,14192.0,14299.0,14100.0,14285.400390625,13939.6298828125,68692
2019-12-20,14260.0,14978.0,14222.0498046875,14858.25,14498.61328125,423033
2019-12-23,14786.0,14993.349609375,14490.0,14532.5,14180.7470703125,125031
2019-12-24,14580.0,14623.25,14461.849609375,14586.0,14232.953125,39686
2019-12-26,14600.0,14715.0,14560.0,14599.25,14245.880859375,45924
2019-12-27,14648.7998046875,14689.650390625,14574.5,14664.150390625,14309.2119140625,29385
2019-12-30,14679.900390625,14900.0,14600.099609375,14851.900390625,14492.4169921875,87720
2019-12-31,14864.0,14924.2998046875,14710.0,14785.349609375,14427.4765625,62765
2020-01-01,14819.0,14849.349609375,14712.25,14779.0498046875,14421.330078125,23859
2020-01-02,14848.900390625,14852.9501953125,14687.150390625,14729.349609375,14372.833984375,46116
2020-01-03,14750.0,14795.0,14556.099609375,14593.599609375,14240.3671875,40000
2020-01-06,14542.0,14542.0,14275.0,14416.650390625,14067.703125,65136
2020-01-07,14423.5498046875,14546.75,14260.849609375,14290.75,13944.849609375,72237
2020-01-08,14191.599609375,14450.0,14120.349609375,14391.25,14042.91796875,39488
2020-01-09,14495.0,14675.0,14450.0,14643.4501953125,14289.0126953125,55708
2020-01-10,14643.4501953125,14718.900390625,14570.25,14685.849609375,14330.3857421875,39274
2020-01-13,14747.900390625,14747.900390625,14601.0,14658.25,14303.4541015625,26990
2020-01-14,14657.900390625,14895.0,14607.0,14868.599609375,14508.7119140625,50378
2020-01-15,14828.0,14950.0,14718.849609375,14860.2001953125,14500.515625,41468
2020-01-16,14851.0,15398.0,14848.099609375,15354.900390625,14983.2421875,203208
2020-01-17,15399.0,15600.0,15358.650390625,15439.4501953125,15065.7451171875,96399
2020-01-20,15230.150390625,15479.400390625,15230.150390625,15417.25,15044.0830078125,68770
2020-01-21,15361.0498046875,15501.599609375,15200.0,15280.75,14910.88671875,63258
2020-01-22,15369.0,15585.0,15301.0,15548.7001953125,15172.3515625,55627
2020-01-23,15500.0,15625.0,15455.0,15548.849609375,15172.4970703125,42861
2020-01-24,15600.0,15850.0,15500.150390625,15755.5,15374.1455078125,50632
2020-01-27,15700.0,15845.0,15559.9501953125,15666.0498046875,15286.861328125,31362
2020-01-28,15664.0,15710.0,15366.7998046875,15416.650390625,15043.4990234375,53107
2020-01-29,15585.0,15899.9501953125,15440.0,15866.75,15482.7041015625,64251
2020-01-30,15802.0,15810.849609375,15471.25,15520.7998046875,15145.1259765625,47252
2020-01-31,15560.0,15637.25,15310.2998046875,15359.4501953125,14987.681640625,59649
2020-02-03,15589.0,16500.0,15530.0,16301.0,15906.4423828125,203752
2020-02-04,16400.0,16507.900390625,16127.0498046875,16455.599609375,16057.30078125,116416
2020-02-05,16476.0,16481.900390625,16256.0498046875,16384.849609375,15988.26171875,57511
2020-02-06,16399.0,16549.44921875,16157.7998046875,16284.9501953125,15890.7802734375,74084
2020-02-07,16340.0,16385.0,16194.599609375,16327.7998046875,15932.59375,41407
2020-02-10,16300.0,16373.099609375,16112.0,16172.2001953125,15780.759765625,61270
2020-02-11,16240.0,16300.0498046875,15950.0,15997.150390625,15609.947265625,73350
2020-02-12,16026.0,16472.599609375,15968.4501953125,16297.7001953125,15903.22265625,129011
2020-02-13,16328.0,16461.5,16277.349609375,16412.19921875,16014.94921875,151228
2020-02-14,16500.0,16782.400390625,16250.0,16356.4501953125,15960.5498046875,165708
2020-02-17,16413.0,16615.0,16373.0,16588.44921875,16186.93359375,139788
2020-02-18,16569.900390625,16569.900390625,16385.05078125,16403.849609375,16006.802734375,90013
2020-02-19,16538.599609375,16831.5,16475.80078125,16785.05078125,16378.7783203125,95000
2020-02-20,16740.0,16740.0,16525.400390625,16539.5,16139.169921875,65732
2020-02-24,16499.0,16576.75,16317.0,16337.25,15941.814453125,66516
2020-02-25,16373.0,16540.849609375,16309.349609375,16380.5,15984.0166015625,90916
2020-02-26,16545.0,16545.0,16150.0498046875,16240.150390625,15847.0654296875,116839
2020-02-27,16300.0,16340.849609375,16057.5,16263.75,15870.09375,90199
2020-02-28,16042.0,16129.0498046875,15680.0,15778.849609375,15396.9306640625,140673
2020-03-02,15950.0,16315.0,15901.0,16109.9501953125,15720.0166015625,117232
2020-03-03,16130.25,16499.0,16130.25,16359.400390625,15963.4296875,93372
2020-03-04,16397.0,16632.5,16020.0,16541.5,16141.12109375,111711
2020-03-05,16550.0,16835.150390625,16482.5,16576.30078125,16175.080078125,85090
2020-03-06,16358.099609375,16565.55078125,16200.099609375,16429.30078125,16031.6376953125,86212
2020-03-09,16249.2998046875,16350.0,15701.099609375,16031.349609375,15643.3193359375,123684
2020-03-11,16005.150390625,16200.0,15772.7998046875,16048.5498046875,15660.1025390625,123732
2020-03-12,15869.4501953125,15882.75,15045.0,15565.5498046875,15188.79296875,222866
2020-03-13,15341.0,15855.0,14050.0,14991.7998046875,14628.9306640625,261620
2020-03-16,14800.0,14931.0498046875,13492.650390625,14397.2001953125,14048.7236328125,221228
2020-03-17,14500.0,14777.0,14250.0,14541.0,14189.0419921875,176980
2020-03-18,14550.0,14738.0,13400.0,13536.7998046875,13209.1484375,212922
2020-03-19,13000.5,13448.400390625,12577.0498046875,13120.2998046875,12802.7294921875,214710
2020-03-20,13198.0,14433.099609375,13150.0,14145.5,13803.1142578125,204925
2020-03-23,12750.400390625,13999.7998046875,12750.0498046875,12944.650390625,12631.33203125,195927
2020-03-24,13889.0,13889.0,12200.0,13478.349609375,13152.1123046875,258667
2020-03-25,12800.0,14520.0,12800.0,14444.099609375,14094.486328125,198722
2020-03-26,14699.7001953125,15100.0,14051.5498046875,14919.650390625,14558.52734375,205344
2020-03-27,15400.0,15534.0,14800.0,15108.599609375,14742.90234375,175244
2020-03-30,14990.0,15890.0,14687.7001953125,15658.650390625,15279.6416015625,201470
2020-03-31,15849.0,16424.94921875,15701.25,16300.599609375,15906.05078125,183919
2020-04-01,16300.25,16456.0,15500.0,15654.5498046875,15275.638671875,127512
2020-04-03,15939.7001953125,15939.7001953125,15005.0,15104.650390625,14739.0498046875,190776
2020-04-07,15575.0,17200.0,15426.0498046875,17038.650390625,16626.23828125,246901
2020-04-08,16650.0,17544.05078125,16555.44921875,16871.25,16462.890625,248445
2020-04-09,17436.94921875,17544.0,16575.0,16839.69921875,16432.1015625,207508
2020-04-13,16845.0,16974.0,16330.150390625,16599.94921875,16198.1552734375,82907
2020-04-15,16657.099609375,17391.0,16657.099609375,17325.900390625,16906.53515625,155579
2020-04-16,17320.0,18001.650390625,17052.150390625,17895.25,17462.1015625,225740
2020-04-17,18369.94921875,18369.94921875,17223.400390625,17324.30078125,16904.97265625,187271
2020-04-20,17489.80078125,17489.80078125,16930.0,16976.400390625,16565.494140625,135197
2020-04-21,16800.0,17240.0,16700.0,17015.349609375,16603.501953125,133754
2020-04-22,17008.349609375,17700.0,16817.19921875,17642.05078125,17215.03125,202241
2020-04-23,17599.94921875,17800.0,17306.0,17436.05078125,17014.017578125,187100
2020-04-24,17300.0,17800.0,17300.0,17406.05078125,16984.744140625,145116
2020-04-27,17585.0,18015.0,17425.0,17950.80078125,17516.310546875,121986
2020-04-28,17976.5,18022.94921875,17501.0,17569.650390625,17144.38671875,107543
2020-04-29,17748.0,17748.0,17400.0,17489.69921875,17066.369140625,105242
2020-04-30,17700.0,18000.0,17512.0,17924.650390625,17490.791015625,158370
2020-05-04,17420.5,17728.150390625,17360.05078125,17456.44921875,17033.923828125,118974
2020-05-05,17571.0,17636.94921875,17100.0,17421.5,16999.8203125,130679
2020-05-06,17421.5,17617.099609375,17270.0,17309.30078125,16890.337890625,135509
2020-05-07,17200.0,17280.0,16825.25,17142.44921875,16727.5234375,209076
2020-05-08,17350.0,17820.0,17201.5,17802.94921875,17372.037109375,179200
